id,Word,Part of Speech,Level,Topic_raw
500000334,arise,020000004,021000003,Notions; Politics and society
500000335,aristocracy,020000003,021000004,Politics and society; Time and space
500000336,arithmetic,020000003,021000003,People; Science and technology
500000337,arm,020000003,021000001,Appearance; Science and technology
500000338,arm,020000004,021000003,Politics and society
500000339,armchair,020000003,021000002,Homes and buildings
500000340,armed,020000001,021000002,Politics and society
500000341,armful,020000003,021000004,Communication
500000342,army,020000003,021000003,Politics and society
500000343,around,020000002,021000002,Politics and society
500000344,arouse,020000004,021000004,Notions
500000345,arrange,020000004,021000003,Communication
500000346,arrangement,020000003,021000003,Culture; Functions
500000347,arrest,020000003,021000003,Politics and society
500000348,arrest,020000004,021000003,Politics and society
500000349,arrival,020000003,021000003,Travel
500000350,arrive,020000004,021000001,Travel
500000351,arrogant,020000001,021000004,People
500000352,arrow,020000003,021000003,Politics and society; Sport; Time and space
500000353,art,020000003,021000001,Culture; Leisure; People
500000354,artery,020000003,021000004,Appearance; Travel
500000355,article,020000003,021000001,Communication; Culture; Leisure; Politics and society
500000356,articulate,020000004,021000004,Communication
500000357,artificial,020000001,021000002,Politics and society
500000358,artificially,020000002,021000004,Politics and society
500000359,artist,020000003,021000003,Culture
500000360,artistic,020000001,021000003,Culture; People
500000361,artistry,020000003,021000004,Culture; Leisure
500000362,ash,020000003,021000004,People; The natural world
500000363,ashamed,020000001,021000003,People
500000364,aside,020000002,021000003,Communication
500000365,ask,020000004,021000001,Work and business
500000366,asleep,020000001,021000002,Health
500000367,aspect,020000003,021000003,Homes and buildings
500000368,aspiration,020000003,021000004,Notions
500000369,aspire,020000004,021000004,Notions
500000370,aspirin,020000003,021000003,Health
500000371,assault,020000003,021000004,Notions; Politics and society
500000372,assemble,020000004,021000004,Homes and buildings
500000373,assembly,020000003,021000004,People; Politics and society
500000374,assert,020000004,021000004,Functions
500000375,assess,020000004,021000004,Functions; People
500000376,assessment,020000003,021000004,Functions; People
500000377,assign,020000004,021000003,Politics and society
500000378,assignment,020000003,021000003,People
500000379,assist,020000004,021000003,Politics and society
500000380,assistance,020000003,021000003,Politics and society
500000381,assistant,020000001,021000002,Leisure; People
500000382,assistant,020000003,021000003,Leisure; People
500000383,associate,020000004,021000003,Functions
500000384,association,020000003,021000002,People; Travel
500000385,assume,020000004,021000003,Science and technology
500000386,assumption,020000003,021000004,Science and technology
500000387,assurance,020000003,021000004,Work and business
500000388,assure,020000004,021000004,Functions
500000389,astonish,020000004,021000004,People
500000390,astonished,020000001,021000004,People
500000391,astonishing,020000001,021000004,Notions
500000392,astonishment,020000003,021000004,People
500000393,astronaut,020000003,021000002,Time and space
500000394,astronomer,020000003,021000003,Time and space
500000395,astronomy,020000003,021000004,Time and space
500000396,athlete,020000003,021000002,Health; Sport
500000397,athletic,020000001,021000003,Health; Sport
500000398,athletics,020000003,021000004,Sport
500000399,Atlantic,020000001,021000003,Notions
500000400,atmosphere,020000003,021000003,The natural world; Time and space
500000401,atom,020000003,021000002,Science and technology
500000402,atomic,020000001,021000003,Science and technology
500000403,attach,020000004,021000003,Communication
500000404,attached,020000001,021000004,Time and space
500000405,attachment,020000003,021000003,Communication
500000406,attack,020000003,021000002,Health; Politics and society
500000407,attack,020000004,021000002,Politics and society; Sport
500000408,attain,020000004,021000003,Notions
500000409,attainable,020000001,021000004,Notions
500000410,attainment,020000003,021000004,Notions
500000411,attempt,020000003,021000002,Notions
500000412,attempt,020000004,021000003,Notions
500000413,attend,020000004,021000003,People
500000414,attendance,020000003,021000004,People
500000415,attention,020000003,021000002,Health
500000416,attentive,020000001,021000004,People
500000417,attentively,020000002,021000004,Politics and society
500000418,attitude,020000003,021000002,Functions; People
500000419,attract,020000004,021000003,Communication
500000420,attraction,020000003,021000003,People
500000421,attractive,020000001,021000002,Appearance
500000422,attractiveness,020000003,021000004,Appearance
500000423,attribute,020000003,021000004,Communication
500000424,attribute,020000004,021000004,Communication
500000425,atypical,020000001,021000004,Notions
500000426,aubergine,020000003,021000004,Food and drink
