コンセプト（学習する文字）,ユニット,コンセプト属性：難易度,部首,コンセプト属性：画数,コンセプト属性：音読み,コンセプト属性：訓読み,コンセプト属性：,学年(漢検),漢検,学年
重,漢字,N4 ,里,9,ジュウ・チョウ,おも（い）・かさ（ねる）,adjective (),小学3年(８級),8級,小学3年
野,漢字,N4 ,里,11,ヤ,の,place,小学2年(９級),9級,小学2年
里,漢字,N4 ,里,7,リ,さと,,小学2年(９級),9級,小学2年
競,漢字,N2,立,20,キョウ・ギョ,-,,小学4年(７級),7級,小学4年
章,漢字,N2,立,11,ショウ,-,,小学3年(８級),8級,小学3年
童,漢字,N2,立,12,ドウ,わらべ,,小学3年(８級),8級,小学3年
立,漢字,N5 ,立,5,リツ・リュウ,た（つ）・た（てる）,verb,小学1年 (１０級),10級,小学1年
端,漢字,N1,立,14,タン,はし・は・はた,,,,
竜,漢字,N1,龍,10,リュウ,たつ,,,,
勤,漢字,N3,力,12,キン・ゴン,つと（める）,verb,小学6年(5級),5級,小学6年
務,漢字,N3,力,11,ム,つと（める）,verb,小学5年(６級),6級,小学5年
効,漢字,N2,力,8,コウ,き（く）,,小学5年(６級),6級,小学5年
勢,漢字,N2,力,13,セイ,いきお（い）,,小学5年(６級),6級,小学5年
加,漢字,N3,力,5,カ,くわ（える）・くわ（わる）,verb,小学4年(７級),7級,小学4年
努,漢字,N3,力,7,ド,つと（める）,verb,小学4年(７級),7級,小学4年
労,漢字,N3,力,7,ロウ,-,verb,小学4年(７級),7級,小学4年
勇,漢字,N2,力,9,ユウ,いさ（む）,,小学4年(７級),7級,小学4年
功,漢字,N1,力,5,コウ,-,,小学4年(７級),7級,小学4年
動,漢字,N4 ,力,11,ドウ,うご（く）,verb,小学3年(８級),8級,小学3年
助,漢字,N3,力,7,ジョ,たす（ける）・たす（かる）,verb,小学3年(８級),8級,小学3年
勝,漢字,N3,力,12,ショウ,か（つ）・まさ（る）,verb,小学3年(８級),8級,小学3年
勉,漢字,N4 ,力,10,ベン,つと（める）,,小学3年(８級),8級,小学3年
力,漢字,N4 ,力,2,リョク・リキ,ちから,,小学1年 (１０級),10級,小学1年
募,漢字,N3,力,12,ボ,つの(る),,,,
劣,漢字,N1,力,6,レツ,おと(る),,,,
励,漢字,N1,力,7,レイ,はげ(む)・はげ(ます),,,,
劾,漢字,N1,力,8,ガイ,-,,,,
勅,漢字,N1,力,9,チョク,-,,,,
勘,漢字,N1,力,11,カン,-,,,,
勧,漢字,N1,力,13,カン,すす(める),,,,
勲,漢字,N1,力,15,クン,-,,,,
老,漢字,N3,老,6,ロウ,お（いる）,,小学4年(７級),7級,小学4年
者,漢字,N4 ,老,8,シャ,もの,people,小学3年(８級),8級,小学3年
考,漢字,N4 ,老,6,コウ,かんが（える）,verb,小学2年(９級),9級,小学2年
主,漢字,N4 ,丶,5,シュ,おも・ぬし,people,小学3年(８級),8級,小学3年
丸,漢字,N2,丶,3,ガン,まる,,小学2年(９級),9級,小学2年
丹,漢字,N1,丶,4,タン,-,,,,
久,漢字,N2,丿,3,キュウ・ク,ひさし（く）,,小学5年(６級),6級,小学5年
乗,漢字,N4 ,丿,9,ジョウ,の（る）,verb,小学3年(８級),8級,小学3年
乏,漢字,N1,丿,4,ボウ,とぼ(しい),,,,
争,漢字,N3,亅,6,ソウ,あらそ（う）,verb,小学4年(７級),7級,小学4年
事,漢字,N4 ,亅,8,ジ,こと,,小学3年(８級),8級,小学3年
了,漢字,N2,亅,2,リョウ,-,,,,
予,漢字,N3,亅,4,ヨ,-,,小学3年(８級),8級,小学3年
亡,漢字,N3,亠,3,ボウ・モウ,な（くす）,verb,小学6年(5級),5級,小学6年
交,漢字,N4 ,亠,6,コウ,まじ（わる）,,小学2年(９級),9級,小学2年
京,漢字,,亠,8,キョウ・ケイ,-,,小学2年(９級),9級,小学2年
享,漢字,N1,亠,8,キョウ・コウ,う(ける),,,,
亭,漢字,N1,亠,9,テイ,-,,,,
党,漢字,N2,儿,10,トウ,-,,小学6年(5級),5級,小学6年
兆,漢字,N2,儿,6,チョウ,-,,小学4年(７級),7級,小学4年
児,漢字,N2,儿,7,ジ,-,,小学4年(７級),7級,小学4年
光,漢字,N4 ,儿,6,コウ,ひか（る）,nature & weather,小学2年(９級),9級,小学2年
兄,漢字,N4 ,儿,5,ケイ・キョウ,あに,people,小学2年(９級),9級,小学2年
元,漢字,N5 ,儿,4,ゲン・ガン,もと,,小学2年(９級),9級,小学2年
先,漢字,N5 ,儿,6,セン,さき,people & school,小学1年 (１０級),10級,小学1年
充,漢字,N1,儿,6,ジュウ,あ(てる),,,,
克,漢字,N1,儿,7,コク,かつ,,,,
免,漢字,N1,儿,8,メン,まぬが（れる）,,,,
冊,漢字,N2,冂,5,サク・サツ,-,,小学6年(5級),5級,小学6年
再,漢字,N2,冂,6,サ・サイ,ふたた（び）,,小学5年(６級),6級,小学5年
円,漢字,N5 ,冂,4,エン,まる（い）,adjective (shape),小学1年 (１０級),10級,小学1年
写,漢字,N4 ,冖,5,シャ,うつ（る）,verb,小学3年(８級),8級,小学3年
冗,漢字,N1,冖,4,ジョウ,-,,,,
冠,漢字,N1,冖,9,カン,かんむり,,,,
冷,漢字,N3,冫,7,レイ,つめ（たい）・ひ（やす）・ひ（える）・さ（める）・さ（ます）,,小学4年(７級),7級,小学4年
冬,漢字,N4 ,冫,5,トウ,ふゆ,seasons,小学2年(９級),9級,小学2年
凍,漢字,N3,冫,10,トウ,こお（る）,,,,
准,漢字,N1,冫,10,ジュン,-,,,,
凝,漢字,N1,冫,16,ギョウ,こ(る)・こ(らす),,,,
処,漢字,N3,几,5,ショ,ところ,verb,小学6年(5級),5級,小学6年
凡,漢字,N1,几,3,ボン・ハン,およ(そ),,,,
出,漢字,N5 ,凵,5,シュツ・スイ,で（る）・だ（す）,verb,小学1年 (１０級),10級,小学1年
凶,漢字,N1,凵,4,キョウ,-,,,,
凸,漢字,N1,凵,5,トツ,-,,,,
凹,漢字,N1,凵,5,オウ,-,,,,
包,漢字,N3,勹,5,ホウ,つつ（む）,,小学4年(７級),7級,小学4年
勺,漢字,N1,勹,3,シャク,-,,,,
匁,漢字,N1,勹,4,-,もんめ,,,,
化,漢字,N3,匕,4,カ,ば（ける）,,小学3年(８級),8級,小学3年
北,漢字,N5 ,匕,5,ホク,きた,position & direction,小学2年(９級),9級,小学2年
匠,漢字,N1,匚,6,ショウ,たくみ,,,,
区,漢字,N4 ,匸,4,ク,-,place,小学3年(８級),8級,小学3年
医,漢字,N4 ,匸,7,イ,-,,小学3年(８級),8級,小学3年
匹,漢字,N3,匸,4,ヒツ,ひき,,,,
匿,漢字,N1,匸,10,トク,-,,,,
危,漢字,N3,卩,6,キ,あぶ（ない）・あや（うい）,,小学6年(5級),5級,小学6年
卵,漢字,N2,卩,7,ラン,たまご,,小学6年(5級),5級,小学6年
巻,漢字,N2,卩,9,カン・ケン,ま（く）,,小学6年(5級),5級,小学6年
印,漢字,N2,卩,6,イン,しるし,,小学4年(７級),7級,小学4年
即,漢字,N1,卩,7,ソク,そく(する),,,,
却,漢字,N1,卩,7,キャク,-,,,,
卸,漢字,N1,卩,9,シャ,おろし・おろ(す),,,,
厚,漢字,N2,厂,9,コウ,あつ（い）,,小学5年(６級),6級,小学5年
原,漢字,N3,厂,10,ゲン,はら,,小学2年(９級),9級,小学2年
厄,漢字,N1,厂,4,ヤク,-,,,,
厘,漢字,N1,厂,9,リン,-,,,,
参,漢字,N3,厶,8,サン,まい（る）,verb,小学4年(７級),7級,小学4年
去,漢字,N5 ,厶,5,キョ・コ,さ（る）,verb,小学3年(８級),8級,小学3年
困,漢字,,囗,7,コン,こま（る）,,小学6年(5級),5級,小学6年
因,漢字,N3,囗,6,イン,ちな（む）・よ（って）,,小学5年(６級),6級,小学5年
団,漢字,N2,囗,6,ダン・トン,-,,小学5年(６級),6級,小学5年
囲,漢字,N2,囗,7,イ,かこ（む）,,小学5年(６級),6級,小学5年
固,漢字,N2,囗,8,コ,かた（い）・かた（める）,,小学4年(７級),7級,小学4年
国,漢字,N5 ,囗,8,コク,くに,people & school,小学2年(９級),9級,小学2年
図,漢字,N4 ,囗,7,ズ・ト,はか（る）,verb,小学2年(９級),9級,小学2年
回,漢字,N4 ,囗,6,カイ・エ,まわ（る）,verb,小学2年(９級),9級,小学2年
園,漢字,N4 ,囗,13,エン,その,,小学2年(９級),9級,小学2年
四,漢字,N5 ,囗,5,シ,よっ（つ）・よん,numbers,小学1年 (１０級),10級,小学1年
囚,漢字,N1,囗,5,シュウ,-,,,,
圏,漢字,N1,囗,11,ケン,-,,,,
変,漢字,N3,夊,9,ヘン,か（わる）・か（える）,,小学4年(７級),7級,小学4年
夏,漢字,N4 ,夊,10,カ・ゲ,なつ,seasons,小学2年(９級),9級,小学2年
宅,漢字,N3,宀,6,タク,-,,小学6年(5級),5級,小学6年
宇,漢字,N2,宀,6,ウ,-,,小学6年(5級),5級,小学6年
宝,漢字,N2,宀,8,ホウ,たから,,小学6年(5級),5級,小学6年
宗,漢字,N1,宀,8,シュウ・ソウ,-,,小学6年(5級),5級,小学6年
宙,漢字,N1,宀,8,チュウ,-,,小学6年(5級),5級,小学6年
宣,漢字,N1,宀,9,セン,-,,小学6年(5級),5級,小学6年
密,漢字,N1,宀,11,ミツ,ひそ（か）,,小学6年(5級),5級,小学6年
容,漢字,N3,宀,10,ヨウ,-,,小学5年(６級),6級,小学5年
寄,漢字,N3,宀,11,キ,よ（せる）,,小学5年(６級),6級,小学5年
官,漢字,N3,宀,8,カン,-,,小学4年(７級),7級,小学4年
察,漢字,N3,宀,14,サツ,-,,小学4年(７級),7級,小学4年
完,漢字,N3,宀,7,カン,-,,小学4年(７級),7級,小学4年
害,漢字,N3,宀,10,ガイ,-,,小学4年(７級),7級,小学4年
富,漢字,N3,宀,12,フ,とみ・と（む）,,小学4年(７級),7級,小学4年
寒,漢字,N4 ,宀,12,カン,さむ（い）,adjective (),小学3年(８級),8級,小学3年
安,漢字,N5 ,宀,6,アン,やす（い）,adjective (price),小学3年(８級),8級,小学3年
守,漢字,N3,宀,6,シュ・ス,まも（る）,,小学3年(８級),8級,小学3年
定,漢字,N3,宀,8,テイ・ジョウ,さだ（める）・さだ（か）,,小学3年(８級),8級,小学3年
実,漢字,N3,宀,8,ジツ,みの（る）・み,,小学3年(８級),8級,小学3年
客,漢字,N3,宀,9,キャク・カク,-,,小学3年(８級),8級,小学3年
宿,漢字,N3,宀,11,シュク,やど,,小学3年(８級),8級,小学3年
宮,漢字,N1,宀,10,キュウ・グウ・ク,みや,,小学3年(８級),8級,小学3年
室,漢字,N4 ,宀,9,シツ,むろ,place,小学2年(９級),9級,小学2年
家,漢字,N4 ,宀,10,カ・ケ,いえ・や,place,小学2年(９級),9級,小学2年
寝,漢字,N3,宀,13,シン,ね(る)・ね(かす),,,,
宜,漢字,N1,宀,8,ギ,よろ(しい),,,,
宰,漢字,N1,宀,10,サイ,-,,,,
宴,漢字,N1,宀,10,エン,うたげ,,,,
宵,漢字,N1,宀,10,ショウ,よい,,,,
寂,漢字,N1,宀,11,ジャク・セキ,さび(しい)・さび,,,,
寛,漢字,N1,宀,12,カン,くつろ(ぐ),,,,
寡,漢字,N1,宀,14,カ,やもめ・すく(ない),,,,
寧,漢字,N1,宀,14,ネイ,むし(ろ),,,,
審,漢字,N1,宀,15,シン,つまび(らか),,,,
寮,漢字,N1,宀,14,リョウ,-,,,,
就,漢字,N1,尢,12,シュウ・ジュ,つ（く）,,小学6年(5級),5級,小学6年
届,漢字,N2,尸,8,カイ,とど（ける）・とど（く）,,小学6年(5級),5級,小学6年
層,漢字,N2,尸,14,ソウ,-,,小学6年(5級),5級,小学6年
尺,漢字,N1,尸,4,シャク,-,,小学6年(5級),5級,小学6年
展,漢字,N1,尸,10,テン,-,,小学6年(5級),5級,小学6年
居,漢字,N3,尸,8,キョ,い（る）,,小学5年(６級),6級,小学5年
属,漢字,N1,尸,12,ゾク,-,,小学5年(６級),6級,小学5年
屋,漢字,N4 ,尸,9,オク,や,place,小学3年(８級),8級,小学3年
局,漢字,N3,尸,7,キョク,-,,小学3年(８級),8級,小学3年
尽,漢字,N1,尸,6,ジン,つ(くす)・つ(きる),,,,
尼,漢字,N1,尸,5,ニ,あま,,,,
尾,漢字,N1,尸,7,ビ,お,,,,
尿,漢字,N1,尸,7,ニョウ,-,,,,
屈,漢字,N1,尸,8,クツ,かが(む),,,,
履,漢字,N1,尸,15,リ,は(く),,,,
屯,漢字,N1,屮,4,トン,たむろ,,,,
州,漢字,N2,巛,6,シュウ,す,,小学3年(８級),8級,小学3年
川,漢字,N5 ,巛,3,セン,かわ,nature & weather,小学1年 (１０級),10級,小学1年
巡,漢字,N1,巛,6,ジュン,めぐ(る),,,,
幼,漢字,N2,幺,5,ヨウ,おさな（い）,,小学6年(5級),5級,小学6年
幾,漢字,N3,幺,12,キ,いく,,,,
幻,漢字,N1,幺,4,ゲン,まぼろし,,,,
幽,漢字,N1,幺,9,ユウ,かす(か),,,,
座,漢字,N3,广,10,ザ,すわ（る）,,小学6年(5級),5級,小学6年
庁,漢字,N2,广,5,チョウ,-,,小学6年(5級),5級,小学6年
序,漢字,N1,广,7,ジョ,-,,小学5年(６級),6級,小学5年
底,漢字,N2,广,8,テイ,そこ,,小学4年(７級),7級,小学4年
府,漢字,N2,广,8,フ,-,,小学4年(７級),7級,小学4年
康,漢字,N1,广,11,コウ,-,,小学4年(７級),7級,小学4年
度,漢字,N4 ,广,9,ド,-,,小学3年(８級),8級,小学3年
庭,漢字,N3,广,10,テイ,にわ,,小学3年(８級),8級,小学3年
庫,漢字,N2,广,10,コ,-,,小学3年(８級),8級,小学3年
広,漢字,N4 ,广,5,コウ,ひろ（い）,adjective (),小学2年(９級),9級,小学2年
店,漢字,N5 ,广,8,テン,みせ,place,小学2年(９級),9級,小学2年
床,漢字,N2,广,7,ショウ,とこ・ゆか,,,,
庶,漢字,N1,广,11,ショ,もろもろ,,,,
庸,漢字,N1,广,11,ヨウ,つね・もち(いる),,,,
廃,漢字,N1,广,12,ハイ,すた(れる)・すた(る),,,,
廉,漢字,N1,广,13,レン,かど,,,,
廊,漢字,N1,广,12,ロウ,-,,,,
延,漢字,N2,廴,8,エン,の（ばす）,,小学6年(5級),5級,小学6年
建,漢字,N4 ,廴,9,ケン,た（てる）・た（つ）,verb,小学4年(７級),7級,小学4年
廷,漢字,N1,廴,7,テイ,-,,,,
弁,漢字,N1,廾,5,ベン,-,,小学5年(６級),6級,小学5年
弊,漢字,N1,廾,15,ヘイ,-,,,,
式,漢字,N3,弋,6,シキ,-,,小学3年(８級),8級,小学3年
形,漢字,N4 ,彡,7,ケイ・ギョウ,かたち・かた,,小学2年(９級),9級,小学2年
彩,漢字,N1,彡,11,サイ,いろど(る),,,,
彫,漢字,N1,彡,11,チョウ,ほ(る),,,,
彰,漢字,N1,彡,14,ショウ,-,,,,
影,漢字,N1,彡,15,エイ,かげ,,,,
律,漢字,N2,彳,9,リツ・リチ,-,,小学6年(5級),5級,小学6年
従,漢字,N1,彳,10,ジュウ・ショウ・ジュ,したが（う）,,小学6年(5級),5級,小学6年
得,漢字,N3,彳,11,トク,え（る）・う（る）,,小学5年(６級),6級,小学5年
復,漢字,N2,彳,12,フク,-,,小学5年(６級),6級,小学5年
往,漢字,N1,彳,8,オウ,い（く）・ゆ（く）,,小学5年(６級),6級,小学5年
徒,漢字,N3,彳,10,ト,-,,小学4年(７級),7級,小学4年
径,漢字,N1,彳,8,ケイ,-,,小学4年(７級),7級,小学4年
徳,漢字,N1,彳,14,トク,-,,小学4年(７級),7級,小学4年
待,漢字,N4 ,彳,9,タイ,ま（つ）,verb,小学3年(８級),8級,小学3年
役,漢字,N3,彳,7,ヤク,-,,小学3年(８級),8級,小学3年
後,漢字,N5 ,彳,9,ゴ・ゴウ,うし（ろ）・あと・のち,position & direction,小学2年(９級),9級,小学2年
彼,漢字,N3,彳,8,ヒ,かれ・かの,,,,
御,漢字,N3,彳,12,ギョ・ゴ,おん・み,,,,
征,漢字,N1,彳,8,セイ,-,,,,
徐,漢字,N1,彳,10,ジョ,おもむろ(に),,,,
循,漢字,N1,彳,12,ジュン,-,,,,
微,漢字,N1,彳,13,ビ,かす(か),,,,
徴,漢字,N1,彳,14,チョウ,しるし,,,,
徹,漢字,N1,彳,15,テツ,とお(す),,,,
我,漢字,N1,戈,7,ガ,われ・わ,,小学6年(5級),5級,小学6年
成,漢字,N3,戈,6,セイ,な（る）・な（す）,,小学4年(７級),7級,小学4年
戦,漢字,N3,戈,13,セン,たたか（う）,,小学4年(７級),7級,小学4年
戒,漢字,N1,戈,7,カイ,いまし(める),,,,
戯,漢字,N1,戈,15,ギ・ゲ,たわむ(れる),,,,
収,漢字,N3,攴,4,シュウ,おさ（める）,verb,小学6年(5級),5級,小学6年
敬,漢字,N2,攴,12,ケイ,うやま（う）,,小学6年(5級),5級,小学6年
敵,漢字,N1,攴,15,テキ,かたき,,小学6年(5級),5級,小学6年
政,漢字,N3,攴,9,セイ・ショウ,まつりごと,,小学5年(６級),6級,小学5年
故,漢字,N1,攴,9,コ,ゆえ,,小学5年(６級),6級,小学5年
敗,漢字,N3,攴,11,ハイ,やぶ（れる）,,小学4年(７級),7級,小学4年
散,漢字,N3,攴,12,サン,ち（る）・ち（らかす）・ち（らす）,,小学4年(７級),7級,小学4年
改,漢字,N2,攴,7,カイ,あらた（める）・あらた（まる）,,小学4年(７級),7級,小学4年
救,漢字,N1,攴,11,キュウ,すく（う）たす(ける),,小学4年(７級),7級,小学4年
放,漢字,N3,攴,8,ホウ,はな（つ）,,小学3年(８級),8級,小学3年
整,漢字,N1,攴,16,セイ,ととの（う）,,小学3年(８級),8級,小学3年
数,漢字,N4 ,攴,13,スウ,かず・かぞ（える）,verb,小学2年(９級),9級,小学2年
教,漢字,N4 ,攴,11,キョウ,おし（える）・おそ（わる）,verb,小学2年(９級),9級,小学2年
攻,漢字,N1,攴,7,コウ,せ(める),,,,
敏,漢字,N1,攴,10,ビン,さと(い),,,,
敢,漢字,N1,攴,12,カン,あ(えて),,,,
敷,漢字,N1,攴,15,フ,し(く),,,,
既,漢字,N1,无,10,キ,すで(に),,,,
最,漢字,N3,曰,12,サイ,もっと（も）,,小学4年(７級),7級,小学4年
曲,漢字,N3,曰,6,キョク,ま（がる）,,小学3年(８級),8級,小学3年
書,漢字,N5 ,曰,10,ショ,か（く）,people & school,小学2年(９級),9級,小学2年
冒,漢字,N1,曰,9,ボウ,おか(す),,,,
更,漢字,N3,曰,7,コウ,さら・ふ（ける）,,,,
替,漢字,N2,曰,12,タイ,か(える)・か(わる),,,,
曹,漢字,N1,曰,11,ソウ,-,,,,
残,漢字,N3,歹,10,ザン,のこ（る）,,小学4年(７級),7級,小学4年
死,漢字,N4 ,歹,6,シ,し,,小学3年(８級),8級,小学3年
殉,漢字,N1,歹,10,ジュン,-,,,,
殊,漢字,N1,歹,10,シュ,こと,,,,
殖,漢字,N1,歹,12,ショク,ふ(える)・ふ(やす),,,,
段,漢字,N3,殳,9,ダン,-,,小学6年(5級),5級,小学6年
殺,漢字,N3,殳,10,サツ・サイ・セツ,ころ（す）,,小学5年(６級),6級,小学5年
殿,漢字,N2,殳,13,デン・テン,との・どの,,,,
殴,漢字,N1,殳,8,オウ, なぐ(る),,,,
殻,漢字,N1,殳,12,カク,から,,,,
毒,漢字,N2,毋,8,ドク,-,,小学5年(６級),6級,小学5年
毎,漢字,N5 ,毋,6,マイ,ごと,days & times,小学2年(９級),9級,小学2年
母,漢字,N5 ,毋,5,ボ,はは,people & school,小学2年(９級),9級,小学2年
気,漢字,N5 ,气,6,キ・ケ,-,nature & weather,小学1年 (１０級),10級,小学1年
発,漢字,N4 ,癶,9,ハツ・ハッ,-,verb,小学3年(８級),8級,小学3年
登,漢字,N3,癶,12,トウ・ト,のぼ（る）,,小学3年(８級),8級,小学3年
署,漢字,N2,网,13,ショ,-,,小学6年(5級),5級,小学6年
罪,漢字,N3,网,13,ザイ,つみ,,小学5年(６級),6級,小学5年
置,漢字,N3,网,13,チ,お（く）,,小学4年(７級),7級,小学4年
罰,漢字,N1,网,14,バツ、バチ,-,,,,
罷,漢字,N1,网,15,ヒ,-,,,,
羅,漢字,N1,网,19,ラ,-,,,,
耕,漢字,N2,耒,10,コウ,たがや（す）,,小学5年(６級),6級,小学5年
耗,漢字,N1,耒,10,コウ・モウ,-,,,,
粛,漢字,N1,聿,11,シュク,つつつ(しむ),,,,
蔵,漢字,N2,艸,15,ゾウ,くら,,小学6年(5級),5級,小学6年
若,漢字,N3,艸,8,ジャク・ニャク,わか（い）・も（しくは）,,小学6年(5級),5級,小学6年
著,漢字,N2,艸,11,チョ・チャク,あらわ（す）,,小学6年(5級),5級,小学6年
蒸,漢字,N2,艸,13,ジョウ,む（らす）,,小学6年(5級),5級,小学6年
英,漢字,N4 ,艸,8,エイ,-,,小学4年(７級),7級,小学4年
芸,漢字,N2,艸,7,ゲイ,-,,小学4年(７級),7級,小学4年
菜,漢字,N2,艸,11,サイ,な,,小学4年(７級),7級,小学4年
芽,漢字,N1,艸,8,ガ,め,,小学4年(７級),7級,小学4年
茨,漢字,,艸,9,-,いばら,,小学4年(７級),7級,小学4年
薬,漢字,N4 ,艸,16,ヤク,くすり,,小学3年(８級),8級,小学3年
苦,漢字,N3,艸,8,ク,にが（い）・くる（しい）,,小学3年(８級),8級,小学3年
落,漢字,N3,艸,12,ラク,お（ちる）,,小学3年(８級),8級,小学3年
荷,漢字,N2,艸,10,カ,に,,小学3年(８級),8級,小学3年
葉,漢字,N3,艸,12,ヨウ,は,,小学3年(８級),8級,小学3年
茶,漢字,N4 ,艸,9,チャ・サ,-,adjective (color),小学2年(９級),9級,小学2年
花,漢字,N5 ,艸,7,カ,はな,nature & weather,小学1年 (１０級),10級,小学1年
草,漢字,N4 ,艸,9,ソウ,くさ,,小学1年 (１０級),10級,小学1年
苗,漢字,N1,艸,8,ビョウ・ミョウ,なえ,,,,
荒,漢字,N2,艸,9,コウ,あ(れる)・あ(らす)・あ(らい),,,,
菓,漢字,N2,艸,11,カ,-,,,,
薄,漢字,N2,艸,16,ハク,うす(い)・うす(める),,,,
芋,漢字,N1,艸,6,ウ,いも,,,,
芝,漢字,N1,艸,6,シ,しば,,,,
芳,漢字,N1,艸,7,ホウ,かんば(しい)　,,,,
茂,漢字,N1,艸,8,モ,しげ(る),,,,
茎,漢字,N1,艸,8,ケイ,くき,,,,
荘,漢字,N1,艸,9,ソウ,-,,,,
菊,漢字,N1,艸,11,キク,-,,,,
菌,漢字,N1,艸,11,キン,-,,,,
華,漢字,N1,艸,10,カ、ケ,はな,,,,
葬,漢字,N1,艸,12,ソウ,ほうむ(る),,,,
蓄,漢字,N1,艸,13,チク,たくわ(える),,,,
薦,漢字,N1,艸,16,セン,すす(める),,,,
薪,漢字,N1,艸,16,シン,たきぎ・まき,,,,
薫,漢字,N1,艸,16,クン,かお(る),,,,
藩,漢字,N1,艸,18,ハン,-,,,,
藻,漢字,N1,艸,19,ソウ,も,,,,
虚,漢字,N1,虍,11,キョ、コ,むな(しい),,,,
虐,漢字,N1,虍,9,ギャク,しい(たげる),,,,
虜,漢字,N1,虍,13,リョ,とりこ,,,,
虞,漢字,N1,虍,13,グ,おそれ,,,,
要,漢字,N3,襾,9,ヨウ,かなめ,,小学4年(７級),7級,小学4年
西,漢字,N5 ,襾,6,セイ・サイ,にし,position & direction,小学2年(９級),9級,小学2年
覆,漢字,N1,襾,18,フク,おお(う)・くつがえ(る)・くつがえ(す),,,,
覇,漢字,N1,襾,19,ハ,-,,,,
象,漢字,N2,豕,12,ショウ・ゾウ,かたど（る）,,小学4年(７級),7級,小学4年
豚,漢字,N1,豕,11,トン,ぶた,,,,
豪,漢字,N1,豕,14,ゴウ,-,,,,
隷,漢字,N1,隶,16,レイ,-,,,,
難,漢字,N3,隹,18,ナン,むずか（しい）・かた（い）,,小学6年(5級),5級,小学6年
雑,漢字,N3,隹,14,ザツ・ゾウ,-,,小学5年(６級),6級,小学5年
集,漢字,N4 ,隹,12,シュウ,あつ（まる）,verb,小学3年(８級),8級,小学3年
隻,漢字,N2,隹,10,セキ,-,,,,
雇,漢字,N2,隹,12,コ,やと(う),,,,
雄,漢字,N1,隹,12,ユウ,おす・お,,,,
雅,漢字,N1,隹,13,ガ,みやび,,,,
雌,漢字,N1,隹,14,シ,めす・め,,,,
離,漢字,N1,隹,19,リ,はな(れる) ・はな(す),,,,
髪,漢字,N3,髟,14,ハツ,かみ,,,,
斉,漢字,N1,齊,8,セイ,-,,,,
斎,漢字,N1,齊,11,サイ,とき,,,,
中,漢字,N5 ,丨,4,チュウ・ジュウ,なか,position & direction,小学1年 (１０級),10級,小学1年
痛,漢字,N3,疒,12,ツウ,いた（い）,,小学6年(5級),5級,小学6年
病,漢字,N4 ,疒,10,ビョウ,やまい,,小学3年(８級),8級,小学3年
疲,漢字,N3,疒,10,ヒ,つか（れる）,,,,
療,漢字,N2,疒,17,リョウ,-,,,,
疫,漢字,N1,疒,9,エキ・ヤク,-,,,,
疾,漢字,N1,疒,10,シツ,-,,,,
症,漢字,N1,疒,10,ショウ,-,,,,
痘,漢字,N1,疒,12,トウ,-,,,,
痢,漢字,N1,疒,12,リ,-,,,,
痴,漢字,N1,疒,13,チ,-,,,,
癒,漢字,N1,疒,18,ユ,い(える)・い(やす),,,,
癖,漢字,N1,疒,18,ヘキ,くせ,,,,
退,漢字,N3,辵,9,タイ,しりぞ（く）,,小学6年(5級),5級,小学6年
遺,漢字,N1,辵,15,イ・ユイ,-,,小学6年(5級),5級,小学6年
迷,漢字,N3,辵,9,メイ,まよ（う）,,小学5年(６級),6級,小学5年
過,漢字,N3,辵,12,カ,す（ぎる）・あやま（ち）,,小学5年(６級),6級,小学5年
適,漢字,N3,辵,14,テキ,かな（わない）,,小学5年(６級),6級,小学5年
述,漢字,N2,辵,8,ジュツ,の（べる）,,小学5年(６級),6級,小学5年
逆,漢字,N2,辵,9,ギャク,さか・さか（らう）,,小学5年(６級),6級,小学5年
造,漢字,N2,辵,10,ゾウ,つく（る）,,小学5年(６級),6級,小学5年
連,漢字,N3,辵,10,レン,つ（れる）・つら（なる）,,小学4年(７級),7級,小学4年
達,漢字,N3,辵,12,タツ,（だち）,,小学4年(７級),7級,小学4年
選,漢字,N3,辵,15,セン,えら（ぶ）,,小学4年(７級),7級,小学4年
辺,漢字,N2,辵,5,ヘン,あた（り）,,小学4年(７級),7級,小学4年
進,漢字,N4 ,辵,11,シン,すす（む）,verb,小学3年(８級),8級,小学3年
送,漢字,N4 ,辵,9,ソウ,おく（る）,verb,小学3年(８級),8級,小学3年
運,漢字,N4 ,辵,12,ウン,はこ（ぶ）,verb,小学3年(８級),8級,小学3年
返,漢字,N3,辵,7,ヘン,かえ（す）,,小学3年(８級),8級,小学3年
追,漢字,N3,辵,9,ツイ,お（う）,,小学3年(８級),8級,小学3年
速,漢字,N3,辵,10,ソク,はや（い）・すみ（やか）,,小学3年(８級),8級,小学3年
遊,漢字,N3,辵,12,ユウ,あそ（び）,,小学3年(８級),8級,小学3年
近,漢字,N4 ,辵,7,キン,ちか（い）,adjective (),小学2年(９級),9級,小学2年
遠,漢字,N4 ,辵,13,エン・オン,とお（い）,adjective (),小学2年(９級),9級,小学2年
週,漢字,N5 ,辵,11,シュウ,-,days & times,小学2年(９級),9級,小学2年
道,漢字,N5 ,辵,12,ドウ,みち,transportation,小学2年(９級),9級,小学2年
通,漢字,N4 ,辵,10,ツウ,とお（る）・かよ（う）・とおり,verb,小学2年(９級),9級,小学2年
込,漢字,N3,辵,6,-,こ（める）,,,,
迎,漢字,N3,辵,8,ゲイ,むか(える),,,,
